Date,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,CHLA,ZEROS,ONES
01/12/1980 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1981 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1981 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1981 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1981 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1981 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1981 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1981 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1981 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1981 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1981 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1981 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1981 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1982 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1982 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1982 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1982 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1982 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1982 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1982 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1982 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1982 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1982 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1982 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1982 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1983 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1983 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1983 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1983 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1983 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1983 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1983 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1983 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1983 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1983 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1983 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1983 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1984 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1984 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1984 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1984 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1984 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1984 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1984 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1984 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1984 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1984 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1984 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1984 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1985 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1985 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1985 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1985 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1985 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1985 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1985 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1985 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1985 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1985 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1985 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1985 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1986 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1986 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1986 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1986 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1986 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1986 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1986 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1986 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1986 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1986 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1986 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1986 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1987 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1987 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1987 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1987 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1987 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1987 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1987 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1987 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1987 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1987 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1987 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1987 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1988 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1988 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1988 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1988 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1988 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1988 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1988 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1988 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1988 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1988 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1988 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1988 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1989 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1989 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1989 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1989 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1989 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1989 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1989 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1989 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1989 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1989 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1989 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1989 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1990 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1990 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1990 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1990 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1990 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1990 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1990 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1990 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1990 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1990 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1990 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1990 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1991 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1991 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1991 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1991 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1991 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1991 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1991 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1991 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1991 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1991 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1991 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1991 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1992 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1992 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1992 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1992 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1992 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1992 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1992 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1992 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1992 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1992 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1992 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1992 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1993 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
01/02/1993 00:00:00,0.3356,223.5779,0.0208,0.0615,0.0683,0.0068,6.4816,6.4816,0.9784,0.9784,0.0611,0.0611,0.7275,0,1
01/03/1993 00:00:00,0.5279,222.0860,0.0207,0.0517,0.0775,0.0078,6.7409,6.7409,1.0175,1.0175,0.0636,0.0636,0.8200,0,1
01/04/1993 00:00:00,0.4472,221.4887,0.0331,0.0769,0.1019,0.0102,5.1853,5.1853,0.7827,0.7827,0.0489,0.0489,1.0068,0,1
01/05/1993 00:00:00,0.6792,223.3739,0.0402,0.0855,0.0958,0.0096,9.3735,9.3735,1.4149,1.4149,0.0884,0.0884,1.1074,0,1
01/06/1993 00:00:00,0.8811,228.7193,0.0443,0.1073,0.0928,0.0093,6.2965,6.2965,0.9504,0.9504,0.0594,0.0594,1.0040,0,1
01/07/1993 00:00:00,1.0553,232.3903,0.0320,0.0681,0.0911,0.0091,11.3429,11.3429,1.7121,1.7121,0.1070,0.1070,1.0281,0,1
01/08/1993 00:00:00,1.1378,236.1864,0.0258,0.0383,0.0935,0.0093,9.0743,9.0743,1.3697,1.3697,0.0856,0.0856,0.9859,0,1
01/09/1993 00:00:00,0.8461,237.4069,0.0172,0.0353,0.0855,0.0086,10.3706,10.3706,1.5654,1.5654,0.0978,0.0978,1.2667,0,1
01/10/1993 00:00:00,0.7515,237.6792,0.0193,0.0294,0.0914,0.0091,9.5928,9.5928,1.4480,1.4480,0.0905,0.0905,0.7301,0,1
01/11/1993 00:00:00,0.4512,235.5448,0.0127,0.0294,0.0822,0.0082,7.0709,7.0709,1.0673,1.0673,0.0667,0.0667,0.6613,0,1
01/12/1993 00:00:00,0.4275,229.9280,0.0180,0.0337,0.0867,0.0087,7.4899,7.4899,1.1306,1.1306,0.0707,0.0707,0.5907,0,1
01/01/1994 00:00:00,0.3693,226.2180,0.0354,0.0730,0.0968,0.0097,7.2018,7.2018,1.0871,1.0871,0.0679,0.0679,0.6893,0,1
