Date,SAL,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,CHLA,ZEROS,ONES
01/04/1981 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1981 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1981 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1981 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1981 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1981 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1981 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1981 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1981 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1982 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1982 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1982 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1982 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1982 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1982 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1982 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1982 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1982 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1982 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1982 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1982 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1983 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1983 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1983 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1983 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1983 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1983 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1983 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1983 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1983 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1983 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1983 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1983 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1984 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1984 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1984 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1984 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1984 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1984 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1984 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1984 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1984 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1984 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1984 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1984 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1985 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1985 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1985 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1985 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1985 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1985 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1985 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1985 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1985 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1985 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1985 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1985 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1986 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1986 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1986 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1986 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1986 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1986 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1986 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1986 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1986 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1986 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1986 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1986 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1987 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1987 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1987 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1987 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1987 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1987 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1987 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1987 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1987 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1987 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1987 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1987 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1988 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1988 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1988 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1988 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1988 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1988 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1988 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1988 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1988 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1988 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1988 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1988 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1989 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1989 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1989 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1989 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1989 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1989 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1989 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1989 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1989 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1989 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1989 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1989 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1990 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1990 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1990 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1990 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1990 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1990 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1990 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1990 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1990 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1990 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1990 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1990 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1991 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1991 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1991 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1991 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1991 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1991 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1991 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1991 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1991 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1991 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1991 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1991 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1992 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1992 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1992 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
01/04/1992 00:00:00,36.5000,1.1836,219.9297,0.0203,0.0472,0.1006,0.0101,11.1403,11.1403,1.6816,1.6816,0.1051,0.1051,2.5774,0,1
01/05/1992 00:00:00,36.3000,1.3432,221.9129,0.0247,0.0525,0.0946,0.0095,20.1382,20.1382,3.0397,3.0397,0.1900,0.1900,2.8349,0,1
01/06/1992 00:00:00,35.7000,1.4320,226.1483,0.0272,0.0658,0.0917,0.0092,13.5275,13.5275,2.0419,2.0419,0.1276,0.1276,2.5701,0,1
01/07/1992 00:00:00,35.5000,1.8280,229.3005,0.0196,0.0418,0.0900,0.0090,24.3694,24.3694,3.6784,3.6784,0.2299,0.2299,2.6320,0,1
01/08/1992 00:00:00,34.8000,1.9389,233.4071,0.0158,0.0235,0.0923,0.0092,19.4955,19.4955,2.9427,2.9427,0.1839,0.1839,2.5238,0,1
01/09/1992 00:00:00,34.6000,2.0655,234.5502,0.0105,0.0217,0.0845,0.0084,22.2806,22.2806,3.3631,3.3631,0.2102,0.2102,3.2426,0,1
01/10/1992 00:00:00,34.7000,1.7826,235.6392,0.0118,0.0180,0.0902,0.0090,20.6096,20.6096,3.1109,3.1109,0.1944,0.1944,1.8690,0,1
01/11/1992 00:00:00,35.5000,1.6558,234.1627,0.0078,0.0181,0.0812,0.0081,15.1913,15.1913,2.2930,2.2930,0.1433,0.1433,1.6930,0,1
01/12/1992 00:00:00,36.0000,1.4101,227.7251,0.0110,0.0207,0.0856,0.0086,16.0915,16.0915,2.4289,2.4289,0.1518,0.1518,1.5121,0,1
01/01/1993 00:00:00,36.2000,1.2819,224.0699,0.0217,0.0448,0.0956,0.0096,15.4726,15.4726,2.3355,2.3355,0.1460,0.1460,1.7645,0,1
01/02/1993 00:00:00,36.7000,1.1168,221.2147,0.0128,0.0377,0.0674,0.0067,13.9254,13.9254,2.1019,2.1019,0.1314,0.1314,1.8625,0,1
01/03/1993 00:00:00,36.8000,1.1322,219.9119,0.0127,0.0317,0.0766,0.0077,14.4824,14.4824,2.1860,2.1860,0.1366,0.1366,2.0991,0,1
