Date,SAL,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,CHLA,ZEROS,ONES
01/08/1981 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1981 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1981 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1981 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1981 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1982 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1982 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1982 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1982 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1982 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1982 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1982 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1982 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1982 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1982 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1982 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1982 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1983 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1983 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1983 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1983 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1983 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1983 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1983 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1983 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1983 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1983 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1983 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1983 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1984 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1984 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1984 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1984 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1984 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1984 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1984 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1984 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1984 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1984 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1984 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1984 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1985 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1985 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1985 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1985 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1985 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1985 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1985 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1985 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1985 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1985 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1985 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1985 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1986 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1986 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1986 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1986 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1986 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1986 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1986 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1986 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1986 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1986 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1986 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1986 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1987 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1987 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1987 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1987 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1987 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1987 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1987 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1987 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1987 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1987 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1987 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1987 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1988 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1988 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1988 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1988 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1988 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1988 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1988 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1988 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1988 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1988 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1988 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1988 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1989 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1989 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1989 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1989 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1989 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1989 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1989 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1989 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1989 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1989 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1989 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1989 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1990 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1990 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1990 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1990 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1990 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1990 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1990 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1990 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1990 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1990 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1990 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1990 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1991 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1991 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1991 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1991 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1991 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1991 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1991 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1991 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1991 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1991 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1991 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1991 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1992 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1992 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1992 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
01/04/1992 00:00:00,35.6052,0.5262,220.4509,0.1068,0.2480,0.1069,0.0107,28.1276,5.6255,4.2457,0.8491,0.2654,0.0531,0.7753,0,1
01/05/1992 00:00:00,35.4963,0.4953,221.5791,0.1296,0.2757,0.1005,0.0100,28.8863,5.7773,4.3602,0.8720,0.2725,0.0545,0.8527,0,1
01/06/1992 00:00:00,35.3966,0.5819,226.2003,0.1429,0.3460,0.0973,0.0097,30.5915,6.1183,4.6176,0.9235,0.2886,0.0577,0.7730,0,1
01/07/1992 00:00:00,35.3760,0.6729,229.4674,0.1033,0.2196,0.0956,0.0096,31.8023,6.3605,4.8003,0.9601,0.3000,0.0600,0.7917,0,1
01/08/1992 00:00:00,35.3699,0.6729,233.1201,0.0831,0.1237,0.0980,0.0098,33.2693,6.6539,5.0218,1.0044,0.3139,0.0628,0.7591,0,1
01/09/1992 00:00:00,35.4500,0.5696,234.6376,0.0554,0.1138,0.0897,0.0090,33.8470,6.7694,5.1090,1.0218,0.3193,0.0639,0.9753,0,1
01/10/1992 00:00:00,35.5199,0.5535,235.1720,0.0622,0.0947,0.0958,0.0096,33.8679,6.7736,5.1121,1.0224,0.3195,0.0639,0.5622,0,1
01/11/1992 00:00:00,35.5861,0.4246,234.1601,0.0408,0.0949,0.0862,0.0086,33.1092,6.6218,4.9976,0.9995,0.3124,0.0625,0.5092,0,1
01/12/1992 00:00:00,35.6651,0.3512,229.6719,0.0580,0.1086,0.0909,0.0091,31.4040,6.2808,4.7402,0.9480,0.2963,0.0593,0.4548,0,1
01/01/1993 00:00:00,35.7103,0.3196,226.7212,0.1143,0.2353,0.1015,0.0101,30.1932,6.0386,4.5575,0.9115,0.2848,0.0570,0.5307,0,1
01/02/1993 00:00:00,35.6821,0.3085,224.2752,0.0672,0.1983,0.0716,0.0072,28.7262,5.7452,4.3360,0.8672,0.2710,0.0542,0.5602,0,1
01/03/1993 00:00:00,35.6725,0.3282,222.6502,0.0668,0.1667,0.0813,0.0081,28.1485,5.6297,4.2488,0.8498,0.2656,0.0531,0.6314,0,1
